Client name,Registrant name,Location of Client,Description of service (when available)
The Government of the Republic of Cameroon,Patton Boggs LLP,Cameroon,
Royal Embassy of Saudi Arabia,Patton Boggs LLP,Saudi Arabia,
Embassy of the Republic of Chad,Patton Boggs LLP,Chad,
Government of the State of Qatar,Patton Boggs LLP,Qatar,
Government of the People's Republic of China,Patton Boggs LLP,China,
Temasek Holdings,Patton Boggs LLP,Singapore,
Government of Georgia,Patton Boggs LLP,Georgia,
Government of the Republic of Croatia,Patton Boggs LLP,Croatia,
Federal Republic of Nigeria,Patton Boggs LLP,Nigeria,
Embassy of Ecuador,Patton Boggs LLP,Ecuador,
The Embassy of the Republic of Azerbaijan,Patton Boggs LLP,Azerbaijan,
The Government of Albania,Patton Boggs LLP,China,
Saudi Food & Drug Authority,Patton Boggs LLP,Saudi Arabia,
Republic of Kosova,Patton Boggs LLP,Kosovo,
Government of Kosovo,Patton Boggs LLP,Kosova,
Government of Libya (Formerly Transitional National Council of Libya),Patton Boggs LLP,Libya,
Government of South Korea,Patton Boggs LLP,South Korea,
Banque du Liban,Patton Boggs LLP,Lebanon,
"Office of the National Security Advisor, Nigeria",Patton Boggs LLP,Nigeria,
Korean International Trade Association,Patton Boggs LLP,South Korea,
Sovereign Military Hospitaller Order of St. John of Jerusalem of Rhodes and of Malta,Patton Boggs LLP,Italy,
Bo Zhang,Patton Boggs LLP,China,
Order of Malta,Patton Boggs LLP,Italy,
Embassy of the People's Republic of China,Patton Boggs LLP,China,
The Government of the Republic of Cameroon,Patton Boggs LLP,Cameroon,
Royal Embassy of Saudi Arabia,Patton Boggs LLP,Saudi Arabia,
Embassy of the Republic of Chad,Patton Boggs LLP,Chad,
Government of the State of Qatar,Patton Boggs LLP,Qatar,
Government of the People's Republic of China,Patton Boggs LLP,China,
Temasek Holdings,Patton Boggs LLP,Singapore,
Government of Georgia,Patton Boggs LLP,Georgia,
Government of the Republic of Croatia,Patton Boggs LLP,Croatia,
Federal Republic of Nigeria,Patton Boggs LLP,Nigeria,
Embassy of Ecuador,Patton Boggs LLP,Ecuador,
The Embassy of the Republic of Azerbaijan,Patton Boggs LLP,Azerbaijan,
The Government of Albania,Patton Boggs LLP,China,
Saudi Food & Drug Authority,Patton Boggs LLP,Saudi Arabia,
Republic of Kosova,Patton Boggs LLP,Kosovo,
Government of Kosovo,Patton Boggs LLP,Kosova,
Government of Libya (Formerly Transitional National Council of Libya),Patton Boggs LLP,Libya,
Government of South Korea,Patton Boggs LLP,South Korea,
Banque du Liban,Patton Boggs LLP,Lebanon,
"Office of the National Security Advisor, Nigeria",Patton Boggs LLP,Nigeria,
Korean International Trade Association,Patton Boggs LLP,South Korea,
Sovereign Military Hospitaller Order of St. John of Jerusalem of Rhodes and of Malta,Patton Boggs LLP,Italy,
Bo Zhang,Patton Boggs LLP,China,
Order of Malta,Patton Boggs LLP,Italy,
Embassy of the People's Republic of China,Patton Boggs LLP,China,
The Government of the Republic of Cameroon,Patton Boggs LLP,Cameroon,
Royal Embassy of Saudi Arabia,Patton Boggs LLP,Saudi Arabia,
Embassy of the Republic of Chad,Patton Boggs LLP,Chad,
Government of the State of Qatar,Patton Boggs LLP,Qatar,
Government of the People's Republic of China,Patton Boggs LLP,China,
Temasek Holdings,Patton Boggs LLP,Singapore,
Government of Georgia,Patton Boggs LLP,Georgia,
Government of the Republic of Croatia,Patton Boggs LLP,Croatia,
Federal Republic of Nigeria,Patton Boggs LLP,Nigeria,
Embassy of Ecuador,Patton Boggs LLP,Ecuador,
The Embassy of the Republic of Azerbaijan,Patton Boggs LLP,Azerbaijan,
The Government of Albania,Patton Boggs LLP,China,
Saudi Food & Drug Authority,Patton Boggs LLP,Saudi Arabia,
Republic of Kosova,Patton Boggs LLP,Kosovo,
Government of Kosovo,Patton Boggs LLP,Kosova,
Government of Libya (Formerly Transitional National Council of Libya),Patton Boggs LLP,Libya,
Government of South Korea,Patton Boggs LLP,South Korea,
Banque du Liban,Patton Boggs LLP,Lebanon,
"Office of the National Security Advisor, Nigeria",Patton Boggs LLP,Nigeria,
Korean International Trade Association,Patton Boggs LLP,South Korea,
Sovereign Military Hospitaller Order of St. John of Jerusalem of Rhodes and of Malta,Patton Boggs LLP,Italy,
Bo Zhang,Patton Boggs LLP,China,
Order of Malta,Patton Boggs LLP,Italy,
Embassy of the People's Republic of China,Patton Boggs LLP,China,
The Government of the Republic of Cameroon,Patton Boggs LLP,Cameroon,
Royal Embassy of Saudi Arabia,Patton Boggs LLP,Saudi Arabia,
Embassy of the Republic of Chad,Patton Boggs LLP,Chad,
Government of the State of Qatar,Patton Boggs LLP,Qatar,
Government of the People's Republic of China,Patton Boggs LLP,China,
Temasek Holdings,Patton Boggs LLP,Singapore,
Government of Georgia,Patton Boggs LLP,Georgia,
Government of the Republic of Croatia,Patton Boggs LLP,Croatia,
Federal Republic of Nigeria,Patton Boggs LLP,Nigeria,
Embassy of Ecuador,Patton Boggs LLP,Ecuador,
The Embassy of the Republic of Azerbaijan,Patton Boggs LLP,Azerbaijan,
The Government of Albania,Patton Boggs LLP,China,
Saudi Food & Drug Authority,Patton Boggs LLP,Saudi Arabia,
Republic of Kosova,Patton Boggs LLP,Kosovo,
Government of Kosovo,Patton Boggs LLP,Kosova,
Government of Libya (Formerly Transitional National Council of Libya),Patton Boggs LLP,Libya,
Government of South Korea,Patton Boggs LLP,South Korea,
Banque du Liban,Patton Boggs LLP,Lebanon,
"Office of the National Security Advisor, Nigeria",Patton Boggs LLP,Nigeria,
Korean International Trade Association,Patton Boggs LLP,South Korea,
Sovereign Military Hospitaller Order of St. John of Jerusalem of Rhodes and of Malta,Patton Boggs LLP,Italy,
Bo Zhang,Patton Boggs LLP,China,
Order of Malta,Patton Boggs LLP,Italy,
Embassy of the People's Republic of China,Patton Boggs LLP,China,
The Government of the Republic of Cameroon,Patton Boggs LLP,Cameroon,
Royal Embassy of Saudi Arabia,Patton Boggs LLP,Saudi Arabia,
Embassy of the Republic of Chad,Patton Boggs LLP,Chad,
Government of the State of Qatar,Patton Boggs LLP,Qatar,
Government of the People's Republic of China,Patton Boggs LLP,China,
Temasek Holdings,Patton Boggs LLP,Singapore,
Government of Georgia,Patton Boggs LLP,Georgia,
Government of the Republic of Croatia,Patton Boggs LLP,Croatia,
Federal Republic of Nigeria,Patton Boggs LLP,Nigeria,
Embassy of Ecuador,Patton Boggs LLP,Ecuador,
The Embassy of the Republic of Azerbaijan,Patton Boggs LLP,Azerbaijan,
The Government of Albania,Patton Boggs LLP,China,
Saudi Food & Drug Authority,Patton Boggs LLP,Saudi Arabia,
Republic of Kosova,Patton Boggs LLP,Kosovo,
Government of Kosovo,Patton Boggs LLP,Kosova,
Government of Libya (Formerly Transitional National Council of Libya),Patton Boggs LLP,Libya,
Government of South Korea,Patton Boggs LLP,South Korea,
Banque du Liban,Patton Boggs LLP,Lebanon,
"Office of the National Security Advisor, Nigeria",Patton Boggs LLP,Nigeria,
Korean International Trade Association,Patton Boggs LLP,South Korea,
Sovereign Military Hospitaller Order of St. John of Jerusalem of Rhodes and of Malta,Patton Boggs LLP,Italy,
Bo Zhang,Patton Boggs LLP,China,
Order of Malta,Patton Boggs LLP,Italy,
Embassy of the People's Republic of China,Patton Boggs LLP,China,
The Government of the Republic of Cameroon,Patton Boggs LLP,Cameroon,
Royal Embassy of Saudi Arabia,Patton Boggs LLP,Saudi Arabia,
Embassy of the Republic of Chad,Patton Boggs LLP,Chad,
Government of the State of Qatar,Patton Boggs LLP,Qatar,
Government of the People's Republic of China,Patton Boggs LLP,China,
Temasek Holdings,Patton Boggs LLP,Singapore,
Government of Georgia,Patton Boggs LLP,Georgia,
Government of the Republic of Croatia,Patton Boggs LLP,Croatia,
Federal Republic of Nigeria,Patton Boggs LLP,Nigeria,
Embassy of Ecuador,Patton Boggs LLP,Ecuador,
The Embassy of the Republic of Azerbaijan,Patton Boggs LLP,Azerbaijan,
The Government of Albania,Patton Boggs LLP,China,
Saudi Food & Drug Authority,Patton Boggs LLP,Saudi Arabia,
Republic of Kosova,Patton Boggs LLP,Kosovo,
Government of Kosovo,Patton Boggs LLP,Kosova,
Government of Libya (Formerly Transitional National Council of Libya),Patton Boggs LLP,Libya,
Government of South Korea,Patton Boggs LLP,South Korea,
Banque du Liban,Patton Boggs LLP,Lebanon,
"Office of the National Security Advisor, Nigeria",Patton Boggs LLP,Nigeria,
Korean International Trade Association,Patton Boggs LLP,South Korea,
Sovereign Military Hospitaller Order of St. John of Jerusalem of Rhodes and of Malta,Patton Boggs LLP,Italy,
Bo Zhang,Patton Boggs LLP,China,
Order of Malta,Patton Boggs LLP,Italy,
Embassy of the People's Republic of China,Patton Boggs LLP,China,
The Government of the Republic of Cameroon,Patton Boggs LLP,Cameroon,
Royal Embassy of Saudi Arabia,Patton Boggs LLP,Saudi Arabia,
Embassy of the Republic of Chad,Patton Boggs LLP,Chad,
Government of the State of Qatar,Patton Boggs LLP,Qatar,
Government of the People's Republic of China,Patton Boggs LLP,China,
Temasek Holdings,Patton Boggs LLP,Singapore,
Government of Georgia,Patton Boggs LLP,Georgia,
Government of the Republic of Croatia,Patton Boggs LLP,Croatia,
Federal Republic of Nigeria,Patton Boggs LLP,Nigeria,
Embassy of Ecuador,Patton Boggs LLP,Ecuador,
The Embassy of the Republic of Azerbaijan,Patton Boggs LLP,Azerbaijan,
The Government of Albania,Patton Boggs LLP,China,
Saudi Food & Drug Authority,Patton Boggs LLP,Saudi Arabia,
Republic of Kosova,Patton Boggs LLP,Kosovo,
Government of Kosovo,Patton Boggs LLP,Kosova,
Government of Libya (Formerly Transitional National Council of Libya),Patton Boggs LLP,Libya,
Government of South Korea,Patton Boggs LLP,South Korea,
Banque du Liban,Patton Boggs LLP,Lebanon,
"Office of the National Security Advisor, Nigeria",Patton Boggs LLP,Nigeria,
Korean International Trade Association,Patton Boggs LLP,South Korea,
Sovereign Military Hospitaller Order of St. John of Jerusalem of Rhodes and of Malta,Patton Boggs LLP,Italy,
Bo Zhang,Patton Boggs LLP,China,
Order of Malta,Patton Boggs LLP,Italy,
Embassy of the People's Republic of China,Patton Boggs LLP,China,
The Government of the Republic of Cameroon,Patton Boggs LLP,Cameroon,
Royal Embassy of Saudi Arabia,Patton Boggs LLP,Saudi Arabia,
Embassy of the Republic of Chad,Patton Boggs LLP,Chad,
Government of the State of Qatar,Patton Boggs LLP,Qatar,
Government of the People's Republic of China,Patton Boggs LLP,China,
Temasek Holdings,Patton Boggs LLP,Singapore,
Government of Georgia,Patton Boggs LLP,Georgia,
Government of the Republic of Croatia,Patton Boggs LLP,Croatia,
Federal Republic of Nigeria,Patton Boggs LLP,Nigeria,
Embassy of Ecuador,Patton Boggs LLP,Ecuador,
The Embassy of the Republic of Azerbaijan,Patton Boggs LLP,Azerbaijan,
The Government of Albania,Patton Boggs LLP,China,
Saudi Food & Drug Authority,Patton Boggs LLP,Saudi Arabia,
Republic of Kosova,Patton Boggs LLP,Kosovo,
Government of Kosovo,Patton Boggs LLP,Kosova,
Government of Libya (Formerly Transitional National Council of Libya),Patton Boggs LLP,Libya,
Government of South Korea,Patton Boggs LLP,South Korea,
Banque du Liban,Patton Boggs LLP,Lebanon,
"Office of the National Security Advisor, Nigeria",Patton Boggs LLP,Nigeria,
Korean International Trade Association,Patton Boggs LLP,South Korea,
Sovereign Military Hospitaller Order of St. John of Jerusalem of Rhodes and of Malta,Patton Boggs LLP,Italy,
Bo Zhang,Patton Boggs LLP,China,
Order of Malta,Patton Boggs LLP,Italy,
Embassy of the People's Republic of China,Patton Boggs LLP,China,
The Government of the Republic of Cameroon,Patton Boggs LLP,Cameroon,
Royal Embassy of Saudi Arabia,Patton Boggs LLP,Saudi Arabia,
Embassy of the Republic of Chad,Patton Boggs LLP,Chad,
Government of the State of Qatar,Patton Boggs LLP,Qatar,
Government of the People's Republic of China,Patton Boggs LLP,China,
Temasek Holdings,Patton Boggs LLP,Singapore,
Government of Georgia,Patton Boggs LLP,Georgia,
Government of the Republic of Croatia,Patton Boggs LLP,Croatia,
Federal Republic of Nigeria,Patton Boggs LLP,Nigeria,
Embassy of Ecuador,Patton Boggs LLP,Ecuador,
The Embassy of the Republic of Azerbaijan,Patton Boggs LLP,Azerbaijan,
The Government of Albania,Patton Boggs LLP,China,
Saudi Food & Drug Authority,Patton Boggs LLP,Saudi Arabia,
Republic of Kosova,Patton Boggs LLP,Kosovo,
Government of Kosovo,Patton Boggs LLP,Kosova,
Government of Libya (Formerly Transitional National Council of Libya),Patton Boggs LLP,Libya,
Government of South Korea,Patton Boggs LLP,South Korea,
Banque du Liban,Patton Boggs LLP,Lebanon,
"Office of the National Security Advisor, Nigeria",Patton Boggs LLP,Nigeria,
Korean International Trade Association,Patton Boggs LLP,South Korea,
Sovereign Military Hospitaller Order of St. John of Jerusalem of Rhodes and of Malta,Patton Boggs LLP,Italy,
Bo Zhang,Patton Boggs LLP,China,
Order of Malta,Patton Boggs LLP,Italy,
Embassy of the People's Republic of China,Patton Boggs LLP,China,
The Government of the Republic of Cameroon,Patton Boggs LLP,Cameroon,
Royal Embassy of Saudi Arabia,Patton Boggs LLP,Saudi Arabia,
Embassy of the Republic of Chad,Patton Boggs LLP,Chad,
Government of the State of Qatar,Patton Boggs LLP,Qatar,
Government of the People's Republic of China,Patton Boggs LLP,China,
Temasek Holdings,Patton Boggs LLP,Singapore,
Government of Georgia,Patton Boggs LLP,Georgia,
Government of the Republic of Croatia,Patton Boggs LLP,Croatia,
Federal Republic of Nigeria,Patton Boggs LLP,Nigeria,
Embassy of Ecuador,Patton Boggs LLP,Ecuador,
The Embassy of the Republic of Azerbaijan,Patton Boggs LLP,Azerbaijan,
The Government of Albania,Patton Boggs LLP,China,
Saudi Food & Drug Authority,Patton Boggs LLP,Saudi Arabia,
Republic of Kosova,Patton Boggs LLP,Kosovo,
Government of Kosovo,Patton Boggs LLP,Kosova,
Government of Libya (Formerly Transitional National Council of Libya),Patton Boggs LLP,Libya,
Government of South Korea,Patton Boggs LLP,South Korea,
Banque du Liban,Patton Boggs LLP,Lebanon,
"Office of the National Security Advisor, Nigeria",Patton Boggs LLP,Nigeria,
Korean International Trade Association,Patton Boggs LLP,South Korea,
Sovereign Military Hospitaller Order of St. John of Jerusalem of Rhodes and of Malta,Patton Boggs LLP,Italy,
Bo Zhang,Patton Boggs LLP,China,
Order of Malta,Patton Boggs LLP,Italy,
Embassy of the People's Republic of China,Patton Boggs LLP,China,
The Government of the Republic of Cameroon,Patton Boggs LLP,Cameroon,
Royal Embassy of Saudi Arabia,Patton Boggs LLP,Saudi Arabia,
Embassy of the Republic of Chad,Patton Boggs LLP,Chad,
Government of the State of Qatar,Patton Boggs LLP,Qatar,
Government of the People's Republic of China,Patton Boggs LLP,China,
Temasek Holdings,Patton Boggs LLP,Singapore,
Government of Georgia,Patton Boggs LLP,Georgia,
Government of the Republic of Croatia,Patton Boggs LLP,Croatia,
Federal Republic of Nigeria,Patton Boggs LLP,Nigeria,
Embassy of Ecuador,Patton Boggs LLP,Ecuador,
The Embassy of the Republic of Azerbaijan,Patton Boggs LLP,Azerbaijan,
The Government of Albania,Patton Boggs LLP,China,
Saudi Food & Drug Authority,Patton Boggs LLP,Saudi Arabia,
Republic of Kosova,Patton Boggs LLP,Kosovo,
Government of Kosovo,Patton Boggs LLP,Kosova,
Government of Libya (Formerly Transitional National Council of Libya),Patton Boggs LLP,Libya,
Government of South Korea,Patton Boggs LLP,South Korea,
Banque du Liban,Patton Boggs LLP,Lebanon,
"Office of the National Security Advisor, Nigeria",Patton Boggs LLP,Nigeria,
Korean International Trade Association,Patton Boggs LLP,South Korea,
Sovereign Military Hospitaller Order of St. John of Jerusalem of Rhodes and of Malta,Patton Boggs LLP,Italy,
Bo Zhang,Patton Boggs LLP,China,
Order of Malta,Patton Boggs LLP,Italy,
Embassy of the People's Republic of China,Patton Boggs LLP,China,
The Government of the Republic of Cameroon,Patton Boggs LLP,Cameroon,
Royal Embassy of Saudi Arabia,Patton Boggs LLP,Saudi Arabia,
Embassy of the Republic of Chad,Patton Boggs LLP,Chad,
Government of the State of Qatar,Patton Boggs LLP,Qatar,
Government of the People's Republic of China,Patton Boggs LLP,China,
Temasek Holdings,Patton Boggs LLP,Singapore,
Government of Georgia,Patton Boggs LLP,Georgia,
Government of the Republic of Croatia,Patton Boggs LLP,Croatia,
Federal Republic of Nigeria,Patton Boggs LLP,Nigeria,
Embassy of Ecuador,Patton Boggs LLP,Ecuador,
The Embassy of the Republic of Azerbaijan,Patton Boggs LLP,Azerbaijan,
The Government of Albania,Patton Boggs LLP,China,
Saudi Food & Drug Authority,Patton Boggs LLP,Saudi Arabia,
Republic of Kosova,Patton Boggs LLP,Kosovo,
Government of Kosovo,Patton Boggs LLP,Kosova,
Government of Libya (Formerly Transitional National Council of Libya),Patton Boggs LLP,Libya,
Government of South Korea,Patton Boggs LLP,South Korea,
Banque du Liban,Patton Boggs LLP,Lebanon,
"Office of the National Security Advisor, Nigeria",Patton Boggs LLP,Nigeria,
Korean International Trade Association,Patton Boggs LLP,South Korea,
Sovereign Military Hospitaller Order of St. John of Jerusalem of Rhodes and of Malta,Patton Boggs LLP,Italy,
Bo Zhang,Patton Boggs LLP,China,
Order of Malta,Patton Boggs LLP,Italy,
Embassy of the People's Republic of China,Patton Boggs LLP,China,
The Government of the Republic of Cameroon,Patton Boggs LLP,Cameroon,
Royal Embassy of Saudi Arabia,Patton Boggs LLP,Saudi Arabia,
Embassy of the Republic of Chad,Patton Boggs LLP,Chad,
Government of the State of Qatar,Patton Boggs LLP,Qatar,
